survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,3,male,32.48824818305749,1,0,6.1545,C,Third,man,True,,Cherbourg,no,False
1,3,male,27.550768274919328,1,0,13.2567,S,Third,man,True,,Southampton,yes,False
1,2,female,16.96199887005298,8,0,0.5875,Q,Second,woman,False,B,Queenstown,yes,False
0,3,female,9.218231430395456,0,0,16.4663,S,Third,child,False,C,Southampton,no,True
0,1,male,4.414202308822979,0,0,25.7031,C,First,child,False,,Cherbourg,no,True
0,2,male,31.425766887782633,0,5,31.1209,S,Second,man,True,,Southampton,no,False
0,3,male,7.58287319161489,0,0,35.0699,S,Third,child,False,,Southampton,no,True
1,1,male,13.259673871240192,0,0,58.2713,S,First,child,False,,Southampton,yes,True
0,1,male,26.53847976612581,0,1,7.8137,C,First,man,True,,Cherbourg,no,False
1,1,female,,0,0,4.1339,S,First,woman,False,B,Southampton,yes,True
0,1,male,40.99520582463802,0,0,61.4189,Q,First,man,True,F,Queenstown,no,True
1,1,female,0.42,0,0,5.4846,C,First,child,False,,Cherbourg,yes,True
1,3,male,28.578100325674793,0,0,118.4744,S,Third,man,True,D,Southampton,yes,True
0,2,male,,0,1,59.524,C,Second,man,True,,Cherbourg,no,False
0,3,female,37.50189494263623,0,0,22.3758,S,Third,woman,False,B,Southampton,no,True
0,3,male,29.095628365346542,0,1,128.341,S,Third,man,True,G,Southampton,no,False
0,2,male,58.95966547558196,1,0,3.2989,S,Second,man,True,,Southampton,no,False
0,2,male,32.83659478274326,0,0,11.6263,S,Second,man,True,,Southampton,no,True
0,2,female,44.97737978903307,0,1,32.7387,C,Second,woman,False,,Cherbourg,no,False
0,3,female,19.209789271380824,1,0,13.8716,S,Third,woman,False,,Southampton,no,False
0,2,male,31.45097368974728,0,0,84.8881,S,Second,man,True,,Southampton,no,True
0,3,male,52.13976637791943,0,0,2.1857,S,Third,man,True,,Southampton,no,True
0,2,male,,1,0,25.6699,S,Second,man,True,,Southampton,no,False
0,3,female,,0,0,28.7776,S,Third,woman,False,,Southampton,no,True
